symbol,exchange,date,adjusted close,option symbol,expiration,strike,call/put,style,ask,bid,mean price,iv,volume,open interest,stock price for iv,*,delta,vega,gamma,theta,rho
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01750000,03/31/17,1750,C,E,624,613,618.5,0.285146,0,1,2368.927,*,0.999946,0,0,0,0.047944
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01750000,03/31/17,1750,P,E,0.05,0,0,0.281087,0,4665,2368.927,*,0,0,0,-0,-0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01775000,03/31/17,1775,C,E,599.2,587.8,593.5,0.285146,0,2,2368.927,*,0.999946,0,0,0,0.048629
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01775000,03/31/17,1775,P,E,0.05,0,0,0.281087,0,7072,2368.927,*,0,0,0,-0,-0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01790000,03/31/17,1790,C,E,584.2,572.8,578.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.04904
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01790000,03/31/17,1790,P,E,0.05,0,0,0.281087,0,5227,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01800000,03/31/17,1800,C,E,574.2,562.8,568.5,0.285146,0,6,2368.927,*,0.999946,0,0,0,0.049314
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01800000,03/31/17,1800,P,E,0.05,0,0,0.281087,0,14893,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01810000,03/31/17,1810,C,E,564.2,552.8,558.5,0.285146,0,2,2368.927,*,0.999946,0,0,0,0.049588
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01810000,03/31/17,1810,P,E,0.05,0,0,0.281087,0,5706,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01820000,03/31/17,1820,C,E,554,543,548.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.049862
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01820000,03/31/17,1820,P,E,0.05,0,0,0.281087,0,853,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01825000,03/31/17,1825,C,E,549.2,537.8,543.5,0.285146,0,39,2368.927,*,0.999946,0,0,0,0.049999
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01825000,03/31/17,1825,P,E,0.05,0,0,0.281087,0,14821,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01830000,03/31/17,1830,C,E,544.2,532.8,538.5,0.285146,0,3,2368.927,*,0.999946,0,0,0,0.050136
SPX,CBOE,03/30/17,2368.06,SPXW  170331P01830000,03/31/17,1830,P,E,0.05,0,0,0.281087,0,444,2368.927,*,0,0,0,-0,0
SPX,CBOE,03/30/17,2368.06,SPXW  170331C01840000,03/31/17,1840,C,E,534.2,522.8,528.5,0.285146,0,0,2368.927,*,0.999946,0,0,0,0.05041
